"","Gene.names","LOG2.H0_1","LOG2.H0_2","LOG2.H0_3","LOG2.Hc_1","LOG2.Hc_2","LOG2.Hc_3","logFC","p.val"
"89","SF3B3",2.73612818118653,3.15957284251952,2.9233324815343,1.70147146045408,1.75603477462225,1.27023124909329,-1.36376534035691,0.00088455278893792
"90","DDX20",0.473284748295242,3.44139102746061,3.06376798009956,-4.06596043312624,-2.02312854688854,-4.49516019430907,-5.85423097672642,0.000901569861830638
"91","ADPGK",-5.31782940885335,-4.26292113666571,-3.44289948328868,-1.80488120557071,-0.646553590013617,-0.541407187518036,3.34360268190179,0.000967356552157138
"92","RPL19",1.04260451032534,1.46260531628524,1.28980534274547,-0.432392471807706,0.163476373757319,-0.0835287141094163,-1.38248666050528,0.00100046591407576
"93","SF3B6",-0.588566830327839,-0.159795985278492,-0.469088090355491,-1.51327308788615,-1.59692223049656,-1.99296150428039,-1.29523530556709,0.00114924149554448
"94","GEMIN4",0.755399015355003,3.35510818955184,3.21172282103667,-3.78503822401936,-1.44745186296757,-2.49116043726752,-5.01529351673265,0.00117545253150698
"95","TRAP1",-0.291629008222689,0.34318774034994,-0.211388800283093,1.11408811340863,1.53552931140517,1.46144570406891,1.42363106567952,0.00120806564515788
"96","GEMIN5",-2.78892976630699,-2.45893765450686,-1.38277762258963,-4.17871459325599,-4.64921537422999,-5.08539206640108,-2.42755899682786,0.00125344797224719
"97","SF3A3",0.938515735907959,0.956650318083181,0.835449261442534,-1.52646500021915,-0.277315828706058,-1.35114875115482,-1.96184829850457,0.00135917744730422
"98","SMARCC2",-1.21061697781368,-1.13552713086895,-1.25087941784054,-2.75168245810993,-3.62906087402428,-2.50919664901675,-1.76430548487593,0.00136825341859594
"99","ATAD1",0.0445133477330018,0.155211641960552,0.499708410108802,1.31182974938758,1.81233223883545,1.39731002442246,1.27401287094771,0.00144698872994525
"100","BCLAF1",0.899555112591429,1.30693942768557,0.176326927275795,-1.09166189840083,-0.908525078257277,-0.79840131922078,-1.72713658781056,0.00152378941775764
"101","CALU",1.69937676474591,2.23971352056902,2.18808495435637,3.20112332448446,3.1361975098993,3.4013437786729,1.20382979112845,0.0015695579058756
"102","ZNF608",-5.70063060552632,-4.54013299918137,-5.11595010946146,-2.03773870691763,-2.08493158234509,0.392016854085611,3.87535342633068,0.00165239671273947
"103","SLC25A5",4.66643289379049,5.25509596322119,4.33900160824631,6.17721868714741,6.75025146832478,6.23318143852616,1.63337370958012,0.00167467907591227
"104","HSP90B1",2.66372707672247,2.26789098258904,2.1478657913983,3.3254379153622,3.72089296850199,3.57114114074463,1.17932939129967,0.00183941590735815
"105","RAB10",-2.56059022153847,-2.497055929053,-3.0396309566996,-1.51384315634821,-0.747253493310946,-0.27222306026675,1.85465246578839,0.00197635296659411
"106","RTN3",-4.4215401011838,-2.6228710169591,-4.60795212335399,-0.958683751139787,-1.14414692981079,-1.2499791277536,2.7665178109309,0.00197844371372313
"107","STRAP",-0.975561870641418,1.28016125722801,0.79827224088109,-3.53701800132272,-2.22103143983102,-3.78328269993844,-3.54806792285329,0.00203220674980357
"108","TOMM70A",-3.86817978670691,-4.8169104515236,-5.72258506548558,-2.16810122213564,0.42315307045509,0.822921698198186,4.49521628341124,0.00206572626569113
"109","RAB2A",-1.95200041118432,-1.75664254865387,-2.03766992116776,-0.92167637932306,-0.937277564582985,-1.10013687357024,0.929074021176552,0.00211314848365965
"110","HTATSF1",-0.26241503301495,0.0725033267647106,0.216276307323501,-1.27985921584351,-0.928627239868142,-1.05483684566774,-1.09656263415089,0.00211594414587967
"111","PRMT1",1.25582373064376,1.68508247990729,1.29918367506133,0.347198624931405,0.378944966225582,0.474345408088862,-1.01320029545551,0.00211771190395833
"112","TIMM23",-0.647932682711065,-0.232268944391937,-0.534676431983069,0.365291820119587,0.902606342528788,0.905066182392446,1.1959474680423,0.00232298531276188
"113","CLNS1A",5.55768306012182,5.82372665102002,5.72691028798223,4.55647720513248,4.82770218962312,4.87056526149344,-0.951191780958343,0.00242580580830719
"114","MRPS31",0.176079009635551,0.220091826699033,0.285767319469258,-0.566945940116533,-0.630231131585361,-0.941208589755892,-0.940107939087209,0.00242724604958239
"115","GEMIN6",-2.37504989600973,0.549174571232069,1.09789157646029,-4.39783894188054,-4.72870477513772,-6.19180779500719,-4.86345592123602,0.00243520414988042
"116","ZDBF2",-1.97554540856707,-0.425902056871905,-0.742557948855598,-5.47285625672826,-3.34969704496864,-3.92865090173289,-3.20239959637841,0.00256176339661709
"117","RCN1",0.142115799405147,0.495854418828053,0.00538887933756271,1.13008601476207,1.21606231983089,1.44195172710891,1.0482469880437,0.0025998054187292
"118","TIMM17B",-2.29628872748,-1.60800233066322,-2.04246469636335,-0.868870755812665,-0.27589394051229,-0.797275972017943,1.33490502872123,0.00263497036671721
"119","NUFIP2",0.504483562097548,0.119839134051535,0.56928059344061,-0.433362785737941,-0.78127901610376,-0.745486669664324,-1.05124392036524,0.00273494553495975
"120","RAP1B",0.277362345472731,0.0199380089974923,0.480096280854838,1.25530670066948,1.10694035684359,1.30513004783138,0.963326823339792,0.00287085246124041
"121","RPS2",3.66775096527305,4.04474729794401,3.68382858309321,2.93159596621344,2.90490679172967,2.72542982147007,-0.944798088965698,0.00292698396726188
"122","RAB1A",1.31798802056404,0.66139927649138,0.86216780668699,1.91084650859685,2.09872420983472,2.16852181148196,1.11217914205704,0.00298863386903246
"123","NDUFB10",-2.04077163207503,-1.03655909247944,-0.907580301070318,0.0642761718664282,0.748764901994715,0.398845100476386,1.73226573332077,0.00305179020891043
"124","MYCBP",2.96092386926734,2.97362967772934,2.71079112060838,1.93896748535851,1.78370827347984,2.1432479934244,-0.926473638447438,0.00307523245483526
"125","ACTA1",3.96810974203822,4.09669985537151,3.64012687640865,2.28681044522134,3.03719577234297,2.66649535009425,-1.23814496871994,0.00307954611887011
"126","GATAD2A",0.465545208977897,0.366518865772413,0.469963372516258,-0.28440424214747,-0.367317853751377,-0.481322244942266,-0.811690596035893,0.00310671688680112
